Filing_ID,Jurisdiction,Filing_Method,Submission_Date,Return_Complexity,Errors_Flag,Refund_Type,Backlog_Flag,Bank_Deposit_Method,Refund_Amount,Actual_Refund_Days,Return_Complexity_Score,Seasonal_Filing_Indicator,Filing_Day_Of_Week,Refund_Amount_Bucket,Error_Severity_Score
1,NY,E-File,2025-04-05,Medium,No,Direct Deposit,No,ACH,927,15,2,1,Saturday,Small,0
2,NY,E-File,2025-04-27,Low,No,Check,No,N/A,3546,9,1,1,Sunday,Large,0
3,NJ,Paper,2025-02-02,High,Yes,Direct Deposit,No,N/A,3195,42,3,1,Sunday,Large,1
4,NJ,Paper,2025-01-17,Medium,Yes,Check,Yes,N/A,2817,61,2,0,Friday,Large,1
5,Federal,E-File,2025-02-16,Low,Yes,Check,Yes,N/A,810,24,1,1,Sunday,Small,1
6,NY,E-File,2025-03-23,Low,Yes,Direct Deposit,Yes,ACH,3378,35,1,1,Sunday,Large,1
7,Federal,E-File,2025-03-25,Medium,Yes,Check,No,N/A,608,12,2,1,Tuesday,Small,1
8,NJ,E-File,2025-02-11,Low,No,Direct Deposit,Yes,ACH,2951,14,1,1,Tuesday,Large,0
9,Federal,Paper,2025-02-11,Medium,Yes,Check,Yes,N/A,498,42,2,1,Tuesday,Small,1
10,CA,E-File,2025-04-24,High,Yes,Check,No,N/A,3193,18,3,1,Thursday,Large,1
11,NY,Paper,2025-01-11,High,No,Direct Deposit,Yes,ACH,1121,54,3,0,Saturday,Medium,0
12,CA,Paper,2025-04-21,High,Yes,Check,No,N/A,4690,48,3,1,Monday,Large,1
13,NY,E-File,2025-04-16,Low,Yes,Check,Yes,N/A,3597,26,1,1,Wednesday,Large,1
14,NY,E-File,2025-04-17,Low,Yes,Check,No,N/A,378,15,1,1,Thursday,Small,1
15,CA,E-File,2025-02-02,Low,Yes,Direct Deposit,Yes,Wire,4503,22,1,1,Sunday,Large,1
16,NJ,Paper,2025-01-28,Low,Yes,Direct Deposit,Yes,ACH,4078,52,1,0,Tuesday,Large,1
17,Federal,E-File,2025-02-04,Medium,No,Check,Yes,N/A,1353,16,2,1,Tuesday,Medium,0
18,NY,Paper,2025-03-24,Medium,Yes,Direct Deposit,Yes,N/A,1546,51,2,1,Monday,Medium,1
19,Federal,Paper,2025-01-28,High,Yes,Check,No,N/A,3683,56,3,0,Tuesday,Large,1
20,Federal,E-File,2025-03-05,High,No,Direct Deposit,No,Wire,923,7,3,1,Wednesday,Small,0
21,NY,Paper,2025-03-19,Medium,No,Direct Deposit,No,N/A,1636,41,2,1,Wednesday,Medium,0
22,CA,Paper,2025-04-25,Low,No,Direct Deposit,Yes,Wire,645,50,1,1,Friday,Small,0
23,Federal,Paper,2025-02-10,Low,Yes,Direct Deposit,No,Wire,2147,36,1,1,Monday,Medium,1
24,CA,E-File,2025-01-06,Medium,Yes,Direct Deposit,No,ACH,3506,23,2,0,Monday,Large,1
25,NY,E-File,2025-04-03,High,No,Check,No,N/A,2016,14,3,1,Thursday,Medium,0
26,NJ,Paper,2025-03-24,Low,Yes,Check,Yes,N/A,1974,50,1,1,Monday,Medium,1
27,CA,E-File,2025-03-18,Medium,Yes,Check,No,N/A,1150,18,2,1,Tuesday,Medium,1
28,CA,Paper,2025-04-18,High,No,Direct Deposit,Yes,ACH,2271,40,3,1,Friday,Medium,0
29,NY,E-File,2025-02-16,Low,No,Direct Deposit,Yes,Wire,4651,15,1,1,Sunday,Large,0
30,NY,E-File,2025-02-11,High,Yes,Check,No,N/A,455,20,3,1,Tuesday,Small,1
31,NY,Paper,2025-02-03,High,Yes,Check,No,N/A,1364,54,3,1,Monday,Medium,1
32,NY,E-File,2025-01-09,High,No,Check,Yes,N/A,335,17,3,0,Thursday,Small,0
33,Federal,Paper,2025-04-04,High,No,Check,No,N/A,1508,43,3,1,Friday,Medium,0
34,Federal,E-File,2025-03-23,High,No,Direct Deposit,Yes,N/A,3306,14,3,1,Sunday,Large,0
35,Federal,Paper,2025-01-16,High,Yes,Check,No,N/A,1932,54,3,0,Thursday,Medium,1
36,Federal,E-File,2025-02-14,Medium,No,Check,Yes,N/A,3596,18,2,1,Friday,Large,0
37,CA,Paper,2025-03-31,Low,No,Direct Deposit,No,ACH,2683,41,1,1,Monday,Large,0
38,Federal,E-File,2025-02-11,Low,No,Check,Yes,N/A,2432,21,1,1,Tuesday,Medium,0
39,CA,E-File,2025-02-12,High,No,Direct Deposit,No,Wire,3784,9,3,1,Wednesday,Large,0
40,NY,E-File,2025-03-10,Low,No,Check,No,N/A,3914,8,1,1,Monday,Large,0
41,NJ,E-File,2025-04-15,Low,Yes,Direct Deposit,Yes,ACH,2070,25,1,1,Tuesday,Medium,1
42,NY,Paper,2025-02-04,High,Yes,Check,No,N/A,3049,47,3,1,Tuesday,Large,1
43,NJ,Paper,2025-01-04,Low,No,Check,No,N/A,4080,44,1,0,Saturday,Large,0
44,NJ,E-File,2025-01-23,Low,No,Check,Yes,N/A,1072,16,1,0,Thursday,Medium,0
45,NJ,Paper,2025-04-25,Low,No,Check,No,N/A,3484,32,1,1,Friday,Large,0
46,Federal,E-File,2025-01-21,Medium,Yes,Direct Deposit,Yes,ACH,4165,26,2,0,Tuesday,Large,1
47,Federal,E-File,2025-02-08,Medium,No,Direct Deposit,Yes,ACH,2618,17,2,1,Saturday,Large,0
48,CA,Paper,2025-03-08,Medium,Yes,Direct Deposit,Yes,ACH,4412,40,2,1,Saturday,Large,1
49,CA,Paper,2025-04-20,Medium,Yes,Direct Deposit,No,ACH,3465,49,2,1,Sunday,Large,1
50,Federal,E-File,2025-01-26,High,Yes,Direct Deposit,No,ACH,3379,16,3,0,Sunday,Large,1
51,CA,E-File,2025-01-10,Medium,No,Direct Deposit,No,N/A,2231,14,2,0,Friday,Medium,0
52,NJ,E-File,2025-03-16,Medium,No,Direct Deposit,No,ACH,1188,8,2,1,Sunday,Medium,0
53,Federal,Paper,2025-04-03,Medium,Yes,Check,No,N/A,1040,50,2,1,Thursday,Medium,1
54,NJ,Paper,2025-04-09,Medium,No,Direct Deposit,Yes,Wire,990,33,2,1,Wednesday,Small,0
55,CA,Paper,2025-01-16,High,Yes,Direct Deposit,No,N/A,3867,37,3,0,Thursday,Large,1
56,CA,Paper,2025-01-24,High,No,Check,No,N/A,1671,44,3,0,Friday,Medium,0
57,NY,E-File,2025-02-20,High,Yes,Check,Yes,N/A,2231,26,3,1,Thursday,Medium,1
58,CA,Paper,2025-02-09,Low,No,Direct Deposit,No,N/A,3316,27,1,1,Sunday,Large,0
59,CA,Paper,2025-04-30,Low,Yes,Check,Yes,N/A,1372,64,1,1,Wednesday,Medium,1
60,NY,E-File,2025-02-20,High,Yes,Check,Yes,N/A,3366,27,3,1,Thursday,Large,1
61,CA,Paper,2025-02-02,Medium,Yes,Direct Deposit,Yes,ACH,2779,43,2,1,Sunday,Large,1
62,Federal,E-File,2025-04-30,High,No,Check,Yes,N/A,4078,12,3,1,Wednesday,Large,0
63,NJ,Paper,2025-04-09,High,Yes,Check,Yes,N/A,4476,57,3,1,Wednesday,Large,1
64,CA,Paper,2025-01-18,High,No,Check,Yes,N/A,1354,34,3,0,Saturday,Medium,0
65,CA,Paper,2025-04-28,High,Yes,Check,No,N/A,2145,56,3,1,Monday,Medium,1
66,NY,E-File,2025-01-29,High,Yes,Check,No,N/A,827,13,3,0,Wednesday,Small,1
67,NY,Paper,2025-04-06,High,Yes,Direct Deposit,Yes,Wire,1095,49,3,1,Sunday,Medium,1
68,CA,E-File,2025-03-02,Medium,Yes,Direct Deposit,No,Wire,3201,25,2,1,Sunday,Large,1
69,NJ,Paper,2025-02-21,Medium,Yes,Check,No,N/A,2510,45,2,1,Friday,Large,1
70,NJ,E-File,2025-04-12,High,Yes,Check,Yes,N/A,3578,25,3,1,Saturday,Large,1
71,NY,Paper,2025-04-05,Medium,No,Check,Yes,N/A,2167,51,2,1,Saturday,Medium,0
72,NJ,Paper,2025-01-26,High,No,Check,Yes,N/A,2961,34,3,0,Sunday,Large,0
73,CA,Paper,2025-03-08,High,No,Direct Deposit,No,N/A,4497,41,3,1,Saturday,Large,0
74,NJ,Paper,2025-03-02,Medium,No,Direct Deposit,Yes,Wire,4773,45,2,1,Sunday,Large,0
75,CA,E-File,2025-01-20,Low,Yes,Check,No,N/A,4925,29,1,0,Monday,Large,1
76,NJ,E-File,2025-03-23,Low,Yes,Direct Deposit,Yes,Wire,914,33,1,1,Sunday,Small,1
77,CA,E-File,2025-03-27,Low,Yes,Direct Deposit,Yes,Wire,4885,29,1,1,Thursday,Large,1
78,NY,E-File,2025-02-15,Medium,No,Check,Yes,N/A,1647,19,2,1,Saturday,Medium,0
79,NJ,E-File,2025-01-20,High,Yes,Check,Yes,N/A,3175,24,3,0,Monday,Large,1
80,Federal,Paper,2025-02-28,Medium,Yes,Direct Deposit,No,Wire,4787,37,2,1,Friday,Large,1
81,NJ,E-File,2025-02-18,Medium,No,Direct Deposit,Yes,Wire,3417,24,2,1,Tuesday,Large,0
82,CA,E-File,2025-02-15,Low,Yes,Direct Deposit,Yes,ACH,1397,25,1,1,Saturday,Medium,1
83,NJ,Paper,2025-04-21,Low,No,Check,Yes,N/A,1088,46,1,1,Monday,Medium,0
84,NJ,E-File,2025-02-08,Low,No,Check,No,N/A,2503,10,1,1,Saturday,Large,0
85,CA,E-File,2025-04-17,Low,No,Direct Deposit,No,N/A,1814,10,1,1,Thursday,Medium,0
86,Federal,E-File,2025-02-26,High,Yes,Direct Deposit,Yes,Wire,520,24,3,1,Wednesday,Small,1
87,NY,Paper,2025-03-26,High,Yes,Check,Yes,N/A,2130,60,3,1,Wednesday,Medium,1
88,CA,E-File,2025-01-16,Low,No,Direct Deposit,No,N/A,3343,15,1,0,Thursday,Large,0
89,CA,E-File,2025-01-11,Medium,Yes,Direct Deposit,No,Wire,4864,18,2,0,Saturday,Large,1
90,NY,E-File,2025-03-14,Medium,Yes,Check,Yes,N/A,4335,23,2,1,Friday,Large,1
91,NY,Paper,2025-04-29,High,Yes,Direct Deposit,Yes,ACH,1863,52,3,1,Tuesday,Medium,1
92,Federal,Paper,2025-01-30,High,Yes,Direct Deposit,Yes,Wire,3139,58,3,0,Thursday,Large,1
93,NY,Paper,2025-03-05,Low,No,Direct Deposit,No,ACH,363,40,1,1,Wednesday,Small,0
94,CA,Paper,2025-01-08,Medium,Yes,Direct Deposit,No,Wire,1276,43,2,0,Wednesday,Medium,1
95,NY,Paper,2025-02-03,Medium,Yes,Check,No,N/A,1883,42,2,1,Monday,Medium,1
96,CA,E-File,2025-04-04,Low,Yes,Direct Deposit,Yes,ACH,2832,35,1,1,Friday,Large,1
97,CA,E-File,2025-02-28,Low,Yes,Direct Deposit,Yes,ACH,4873,25,1,1,Friday,Large,1
98,NY,Paper,2025-01-16,Low,No,Direct Deposit,No,N/A,3856,41,1,0,Thursday,Large,0
99,NY,Paper,2025-01-20,Low,No,Check,Yes,N/A,1408,34,1,0,Monday,Medium,0
100,NJ,Paper,2025-04-13,Low,No,Direct Deposit,No,ACH,669,45,1,1,Sunday,Small,0
101,NY,E-File,2025-02-13,Low,Yes,Check,No,N/A,680,25,1,1,Thursday,Small,1
102,NY,E-File,2025-02-14,Medium,No,Direct Deposit,Yes,Wire,1209,15,2,1,Friday,Medium,0
103,NJ,E-File,2025-01-04,Medium,No,Check,Yes,N/A,994,24,2,0,Saturday,Small,0
104,NJ,Paper,2025-02-15,Medium,Yes,Direct Deposit,No,Wire,1410,43,2,1,Saturday,Medium,1
105,Federal,E-File,2025-02-05,High,Yes,Direct Deposit,Yes,N/A,472,29,3,1,Wednesday,Small,1
106,NY,E-File,2025-01-01,Low,Yes,Check,Yes,N/A,1563,21,1,0,Wednesday,Medium,1
107,NY,Paper,2025-03-07,Medium,Yes,Direct Deposit,No,N/A,3124,42,2,1,Friday,Large,1
108,Federal,E-File,2025-02-20,High,Yes,Check,No,N/A,4880,17,3,1,Thursday,Large,1
109,CA,E-File,2025-02-01,High,Yes,Direct Deposit,Yes,N/A,4946,35,3,1,Saturday,Large,1
110,CA,E-File,2025-04-27,Low,Yes,Check,No,N/A,1094,27,1,1,Sunday,Medium,1
111,Federal,Paper,2025-04-01,Medium,No,Direct Deposit,No,ACH,4993,30,2,1,Tuesday,Large,0
112,NY,E-File,2025-03-01,Low,Yes,Check,Yes,N/A,563,26,1,1,Saturday,Small,1
113,NY,Paper,2025-02-20,High,No,Direct Deposit,Yes,ACH,487,39,3,1,Thursday,Small,0
114,CA,E-File,2025-04-19,Medium,Yes,Check,Yes,N/A,4043,25,2,1,Saturday,Large,1
115,CA,Paper,2025-01-25,Medium,Yes,Direct Deposit,Yes,N/A,1763,60,2,0,Saturday,Medium,1
116,Federal,Paper,2025-02-20,Low,No,Check,Yes,N/A,1409,37,1,1,Thursday,Medium,0
117,NY,Paper,2025-04-26,Medium,Yes,Check,No,N/A,1957,32,2,1,Saturday,Medium,1
118,NJ,Paper,2025-01-14,High,Yes,Check,No,N/A,3251,41,3,0,Tuesday,Large,1
119,NJ,Paper,2025-02-02,Medium,No,Check,Yes,N/A,4581,31,2,1,Sunday,Large,0
120,NY,Paper,2025-01-11,Low,No,Check,No,N/A,3847,39,1,0,Saturday,Large,0
121,CA,E-File,2025-01-31,High,No,Direct Deposit,No,ACH,637,10,3,0,Friday,Small,0
122,Federal,Paper,2025-04-07,Low,No,Direct Deposit,Yes,Wire,2133,39,1,1,Monday,Medium,0
123,CA,E-File,2025-03-22,High,No,Direct Deposit,Yes,Wire,1576,19,3,1,Saturday,Medium,0
124,NY,E-File,2025-01-14,Low,Yes,Direct Deposit,Yes,N/A,4108,31,1,0,Tuesday,Large,1
125,NY,E-File,2025-04-03,High,No,Direct Deposit,No,ACH,2282,12,3,1,Thursday,Medium,0
126,NY,Paper,2025-03-13,Low,No,Check,No,N/A,2990,33,1,1,Thursday,Large,0
127,Federal,E-File,2025-02-27,High,No,Direct Deposit,Yes,Wire,3036,16,3,1,Thursday,Large,0
128,NJ,E-File,2025-02-28,Low,No,Check,No,N/A,2599,8,1,1,Friday,Large,0
129,Federal,Paper,2025-03-31,Medium,No,Direct Deposit,Yes,Wire,4534,48,2,1,Monday,Large,0
130,NJ,E-File,2025-04-17,High,No,Direct Deposit,No,N/A,334,14,3,1,Thursday,Small,0
